# From CDSD-4000: ftp://ftp.iao.ru/pub/CDSD-4000/
#Partition functions by direct summation (Jmax=300)
#==================================================
#
#Convergence is within 1%.
#
  T(K)        12C16O2      13C16O2       16O12C18O    16O12C17O
  296.         291.045      586.767        618.393      3604.06
  300.         291.045      586.767        618.393      3604.06
  400.         434.691      881.667        925.899      5389.81
  500.         625.674     1275.86        1336.38       7769.02
  600.         877.671     1798.07        1879.82      10913.8
  700.        1206.03      2480.85        2589.94      15017.7
  800.        1628.38      3361.71        3505.46      20303.0
  900.        2164.89      4483.75        4670.86      27024.5
 1000.        2838.58      5896.14        6136.83      35472.9
 1100.        3675.48      7654.60        7960.79      45977.2
 1200.        4704.87      9821.84       10207.3       58907.6
 1300.        5959.47     12468.0        12948.7       74678.5
 1400.        7475.67     15671.2        16265.4       93750.6
 1500.        9293.76     19517.9        20246.4      116634.
 1600.       11458.1      24103.6        24989.9      143892.
 1700.       14017.4      29532.9        30603.6      176143.
 1800.       17025.1      35920.7        37205.6      214062.
 1900.       20539.1      43391.8        44924.2      258388.
 2000.       24622.7      52082.3        53899.3      309922.
 2100.       29344.2      62139.5        64282.3      369535.
 2200.       34777.4      73722.8        76236.8      438166.
 2300.       41002.3      87004.0        89939.3      516831.
 2400.       48104.3     102168.        105579.       606620.
 2500.       56175.6     119413.        123361.       708707.
 2600.       65314.6     138952.        143502.       824347.
 2700.       75626.7     161013.        166237.       954885.
 2800.       87224.3     185838.        191812.      1101755.
 2900.      100227.      213685.        220494.      1266486.
 3000.      114762.      244830.        252564.      1450702.
 3100.      130965.      279565.        288320.      1656131.
 3200.      148979.      318199.        328079.      1884600.
 3300.      168956.      361060.        372174.      2138042.
 3400.      191055.      408495.        420959.      2418501.
 3500.      215447.      460867.        474805.      2728125.
 3600.      242308.      518561.        534101.      3069177.
 3700.      271827.      581983.        599258.      3444029.
 3800.      304199.      651555.        670703.      3855166.
 3900.      339631.      727722.        748886.      4305186.
 4000.      378338.      810949.        834272.      4796797.
 4100.      420545.      901720.        927349.      5332816.
 4200.      466487.     1000542.       1028620.      5916172.
 4300.      516409.     1107940.       1138610.      6549896.
 4400.      570563.     1224459.       1257858.      7237124.
 4500.      629215.     1350665.       1386925.      7981093.
 4600.      692635.     1487142.       1526386.      8785134.
 4700.      761105.     1634496.       1676831.      9652670.
 4800.      834917.     1793347.       1838869.     10587211.
 4900.      914370.     1964337.       2013121.     11592349.
 5000.      999770.     2148121.       2200222.     12671752.
 5100.     1091435.     2345374.       2400820.     13829157.
 5200.     1189686.     2556784.       2615574.     15068366.
 5300.     1294854.     2783055.       2845155.     16393240.
 5400.     1407277.     3024904.       3090242.     17807690.
 5500.     1527298.     3283061.       3351524.     19315673.
 5600.     1655268.     3558266.       3629697.     20921181.
 5700.     1791541.     3851272.       3925461.     22628241.
 5800.     1936478.     4162841.       4239524.     24440903.
 5900.     2090443.     4493741.       4572596.     26363234.
 6000.     2253805.     4844749.       4925390.     28399312.
