The table below was downloaded from the NIST Atomic Spectra Database Ionization Energies Form (https://physics.nist.gov/PhysRefData/ASD/ionEnergy.html) selecting all elemental species (H-Ds) in the January of 2022.
Notes:
(a) If the listed ionization energy is blank, it is unknown. Only the ground state is known.
(b) Uncertainties of some of the listed values are unknown. 
If you did not find the data you need, please inform the ASD Team.
----------------------------------------------------------------------------------------------------------------------------------------
At. num | Sp. Name      | Ion Charge | El. Name      |      Ionization Energy (a) (eV)      | Uncertainty (b) (eV) | References
      1 | H I           |          0 | Hydrogen      |      (13.598434599702)               |     0.000000000012   |               HDEL
      2 | He I          |          0 | Helium        |       24.587389011                   |     0.000000025      |             L17714
      2 | He II         |         +1 | Helium        |      (54.417765486)                  |     0.000000025      |           L7188c95
      3 | Li I          |          0 | Lithium       |        5.391714996                   |     0.000000022      |             L12261
      3 | Li II         |         +1 | Lithium       |      [75.6400970]                    |     0.0000012        |             L10054
      3 | Li III        |         +2 | Lithium       |     (122.45435914)                   |     0.00000025       |           L3620c96
      4 | Be I          |          0 | Beryllium     |        9.322699                      |     0.000007         |              L5964
      4 | Be II         |         +1 | Beryllium     |       18.21115                       |     0.00004          |             L12158
      4 | Be III        |         +2 | Beryllium     |     [153.896205]                     |     0.000004         |             L10054
      4 | Be IV         |         +3 | Beryllium     |     (217.7185861)                    |     0.0000010        |           L3620c97
      5 | B I           |          0 | Boron         |        8.298019                      |     0.000003         |             L12312
      5 | B II          |         +1 | Boron         |       25.15483                       |     0.00005          |             L12120
      5 | B III         |         +2 | Boron         |       37.93059                       |     0.00007          |             L12547
      5 | B IV          |         +3 | Boron         |      259.3715                        |     0.0025           |             L12548
      5 | B V           |         +4 | Boron         |     (340.2260229)                    |     0.0000025        |             L12548
      6 | C I           |          0 | Carbon        |       11.2602880                     |     0.0000011        |             L20057
      6 | C II          |         +1 | Carbon        |       24.383154                      |     0.000016         |               c190
      6 | C III         |         +2 | Carbon        |       47.88778                       |     0.00025          |           L876c191
      6 | C IV          |         +3 | Carbon        |       64.49352                       |     0.00019          |             L11667
      6 | C V           |         +4 | Carbon        |     [392.090518]                     |     0.000025         |             L10054
      6 | C VI          |         +5 | Carbon        |     (489.993198)                     |     0.000006         |              L7188
      7 | N I           |          0 | Nitrogen      |       14.53413                       |     0.00004          |              L1411
      7 | N II          |         +1 | Nitrogen      |      [29.60125]                      |     0.00009          |             L11770
      7 | N III         |         +2 | Nitrogen      |      [47.4453]                       |     0.0025           |             L11770
      7 | N IV          |         +3 | Nitrogen      |       77.4735                        |     0.0004           |         L7288,L876
      7 | N V           |         +4 | Nitrogen      |       97.8901                        |     0.0004           |              L4829
      7 | N VI          |         +5 | Nitrogen      |     [552.06733]                      |     0.00004          |             L10054
      7 | N VII         |         +6 | Nitrogen      |     (667.046121)                     |     0.000012         |              L7188
      8 | O I           |          0 | Oxygen        |       13.618055                      |     0.000007         |          L74,L3760
