# Molecular parmaeters taken from HITRAN molparam.txt
# Reference
# -----------
# http://hitran.org/media/molparam.txt
#
# Reshaped to be read as a Pandas dataframe
# >>> import pandas as pd
# >>> molparam = pd.read_csv('molparam.txt', comment='#', delim_whitespace=True)
#
# Note
# ---------
# Isotope number was derived manually assuming the isonames were ordered in the database
# The isotope AFGL code (ex: CO2 626) is kept for comparison if ever needed
#
# -----------------------------------------------------
id iso isoname abundance     Q_296K      gj    mol_mass
#   H2O (1)
1  1  161  .997317E+00    1.7464E+02    1     18.010565
1  2  181  1.99983E-03    1.7511E+02    1     20.014811
1  3  171  3.71884E-04    1.0479E+03    6     19.014780
1  4  162  3.10693E-04    8.5901E+02    6     19.016740
1  5  182  6.23003E-07    8.7519E+02    6     21.020985
1  6  172  1.15853E-07    5.2204E+03   36     20.020956
1  7  262  2.41970E-08    1.0278E+03    1     20.022915
#   CO2 (2)
2  1  626  .984204E+00    2.8694E+02    1     43.989830
2  2  636  1.10574E-02    5.7841E+02    2     44.993185
2  3  628  3.94707E-03    6.0948E+02    1     45.994076
2  4  627  7.33989E-04    3.5527E+03    6     44.994045
2  5  638  4.43446E-05    1.2291E+03    2     46.997431
2  6  637  8.24623E-06    7.1629E+03   12     45.997400
2  7  828  3.95734E-06    3.2421E+02    1     47.998322
2  8  827  1.47180E-06    3.7764E+03    6     46.998291
2  9  727  1.36847E-07    1.1002E+04    1     45.998262
2  10 838  4.44600E-08    6.5350E+02    2     49.001675
2  11 837  1.65354E-08    7.6152E+03   12     48.001646
2  12 737  1.53750E-09    2.2120E+04    2     47.001618
#    O3 (3)
3  1  666  .992901E+00    3.4838E+03    1     47.984745
3  2  668  3.98194E-03    7.4657E+03    1     49.988991
3  3  686  1.99097E-03    3.6471E+03    1     49.988991
3  4  667  7.40475E-04    4.3331E+04    6     48.988960
3  5  676  3.70237E-04    2.1405E+04    6     48.988960
#   N2O (4)
4  1  446  .990333E+00    5.0018E+03    9     44.001062
4  2  456  3.64093E-03    3.3619E+03    6     44.998096
4  3  546  3.64093E-03    3.4586E+03    6     44.998096
4  4  448  1.98582E-03    5.3147E+03    9     46.005308
4  5  447  3.69280E-04    3.0971E+04   54     45.005278
#    CO (5)
5  1  26  .986544E+00    1.0712E+02    1     27.994915
5  2  36  1.10836E-02    2.2408E+02    2     28.998270
5  3  28  1.97822E-03    1.1247E+02    1     29.999161
5  4  27  3.67867E-04    6.5934E+02    6     28.999130
5  5  38  2.22250E-05    2.3582E+02    2     31.002516
5  6  37  4.13292E-06    1.3809E+03   12     30.002485
#   CH4 (6)
6  1  211  .988274E+00    5.9052E+02    1     16.031300
6  2  311  1.11031E-02    1.1808E+03    2     17.034655
6  3  212  6.15751E-04    4.7954E+03    3     17.037475
6  4  312  6.91785E-06    9.5990E+03    6     18.040830
#    O2 (7)
7  1  66  .995262E+00    2.1577E+02    1     31.989830
7  2  68  3.99141E-03    4.5230E+02    1     33.994076
7  3  67  7.42235E-04    2.6406E+03    6     32.994045
#    NO (8)
8  1  46  .993974E+00    1.1421E+03    3     29.997989
8  2  56  3.65431E-03    7.8926E+02    2     30.995023
8  3  48  1.99312E-03    1.2045E+03    3     32.002234
#   SO2 (9)
9  1  626  .945678E+00    6.3403E+03    1     63.961901
9  2  646  4.19503E-02    6.3689E+03    1     65.957695
#   NO2 (10)
10 1  646  .991616E+00    1.3578E+04    3     45.992904
#   NH3 (11)
11 1  4111  .995872E+00    1.7252E+03    3     17.026549
11 2  5111  3.66129E-03    1.1527E+03    2     18.023583
#  HNO3 (12)
12 1  146  .989110E+00    2.1412E+05    6     62.995644
12 2  156  3.63600E-03    1.4187E+05    4     63.992680
#    OH (13)
13 1  61  .997473E+00    8.0362E+01    2     17.002740
13 2  81  2.00014E-03    8.0882E+01    2     19.006986
13 3  62  1.55371E-04    2.0931E+02    3     18.008915
#    HF (14)
14 1  19  .999844E+00    4.1469E+01    4     20.006229
14 2  29  1.55741E-04    1.1591E+02    6     21.012404
#   HCl (15)
15 1  15  .757587E+00    1.6065E+02    8     35.976678
15 2  17  .242257E+00    1.6089E+02    8     37.973729
15 3  25  1.18005E-04    4.6278E+02   12     36.982853
15 4  27  3.77350E-05    4.6412E+02   12     38.979904
#   HBr (16)
16 1  19  .506781E+00    2.0017E+02    8     79.926160
16 2  11  .493063E+00    2.0023E+02    8     81.924115
16 3  29  7.89384E-05    5.8640E+02   12     80.932336
